,Unnamed: 0,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,source
0,0,1,1,[32],[5],[2],64,20,32,26.44446563720703,0.981249988079071,0.0702683851122856,1020355,0.0500504858791828,0.9900000095367432,1.0,0.970873773097992,1.0,1.0,1.0,0.9700000286102296,Savgol
1,1,2,1,[64],[7],[4],128,20,64,32.27952694892883,0.9770833253860474,0.0834462866187095,2032643,0.0716213956475257,0.975000023841858,1.0,0.930232584476471,1.0,1.0,1.0,0.925000011920929,Savgol
2,2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,41.82983160018921,0.981249988079071,0.0795366242527961,1022467,0.1032934412360191,0.9633333086967468,0.9950248599052428,0.9049773812294006,1.0,1.0,1.0,0.8899999856948853,Savgol
3,3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,150.3933300971985,0.981249988079071,0.0770525783300399,4088835,0.1017286702990531,0.9666666388511658,1.0,0.9090909361839294,1.0,1.0,1.0,0.8999999761581421,Savgol
4,4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,39.746681451797485,0.981249988079071,0.0700530856847763,1018435,0.0858347117900848,0.9633333086967468,0.9950248599052428,0.9049773812294006,1.0,1.0,1.0,0.8899999856948853,Savgol
5,5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,43.324628829956055,0.975000023841858,0.0737446993589401,1018499,0.0631906911730766,0.9816666841506958,1.0,0.975000023841858,0.9701492786407472,0.9950000047683716,0.975000023841858,0.975000023841858,Savgol
6,6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,99.94545602798462,0.981249988079071,0.0743903592228889,2034627,0.069116473197937,0.9733333587646484,1.0,0.92592591047287,1.0,1.0,1.0,0.915000021457672,Savgol
7,7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,213.1953239440918,0.981249988079071,0.0651507005095481,8136579,0.0639713034033775,0.971666693687439,1.0,0.921658992767334,1.0,1.0,1.0,0.915000021457672,Savgol
8,8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,41.91237783432007,0.981249988079071,0.0851824134588241,510915,0.0731001049280166,0.9833333492279052,1.0,0.9569377899169922,0.9947916865348816,0.9950000047683716,1.0,0.9549999833106996,Savgol
9,9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,38.16313123703003,0.981249988079071,0.0750919207930564,515075,0.0704511329531669,0.9733333587646484,0.9950248599052428,0.930232584476471,1.0,1.0,1.0,0.9200000166893004,Savgol
10,10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,138.15523052215576,0.9833333492279052,0.0758866816759109,2010179,0.0478973761200904,0.9850000143051147,1.0,0.9569377899169922,1.0,1.0,1.0,0.9549999833106996,Savgol
11,11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,325.8295834064484,0.9791666865348816,0.0792960450053215,8038531,0.0957121029496193,0.9683333039283752,1.0,0.913241982460022,1.0,1.0,1.0,0.9049999713897704,Savgol
12,12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,220.54365921020508,0.981249988079071,0.0698899701237678,4067011,0.0551110915839672,0.9800000190734864,1.0,0.9433962106704712,1.0,1.0,1.0,0.9399999976158142,Savgol
13,13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,85.13711023330688,0.9770833253860474,0.0833156406879425,1990403,0.0941818729043006,0.959999978542328,1.0,0.8968609571456909,1.0,1.0,1.0,0.875,Savgol
14,14,15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,382.2754459381104,0.981249988079071,0.0666238516569137,7886019,0.0655928775668144,0.9766666889190674,1.0,0.9428571462631226,0.9894737005233764,1.0,0.9900000095367432,0.9399999976158142,Savgol
15,15,16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,154.6619472503662,0.981249988079071,0.0696349814534187,3958019,0.0619850680232048,0.9733333587646484,1.0,0.92592591047287,1.0,1.0,1.0,0.9200000166893004,Savgol
16,16,17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,80.31521821022034,0.9791666865348816,0.0778088718652725,1033219,0.2642754912376404,0.9633333086967468,0.9900990128517152,0.9090909361839294,1.0,1.0,1.0,0.8899999856948853,Savgol
17,17,18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,194.48399782180783,0.9791666865348816,0.0653683990240097,2115459,0.0730635970830917,0.9766666889190674,0.9950248599052428,0.9389671087265016,1.0,1.0,1.0,0.9300000071525574,Savgol
18,18,19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,273.64466309547424,0.981249988079071,0.0777911841869354,7830531,0.0639015436172485,0.9783333539962769,1.0,0.9389671087265016,1.0,1.0,1.0,0.9350000023841858,Savgol
19,19,20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,134.11796021461487,0.9833333492279052,0.0739083662629127,3642627,0.07527756690979,0.9766666889190674,1.0,0.9345794320106506,1.0,1.0,1.0,0.9300000071525574,Savgol
