,Unnamed: 0,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,test_accuracy,test_precision,test_recall,test_loss,best_val_accuracy,best_val_loss,params,source
0,0,1,1,[32],[5],[2],64,20,32,26.73758053779602,0.9583333134651184,0.9583333134651184,0.9583333134651184,0.1029160842299461,0.9791666865348816,0.0762440934777259,1020355,Savgol
1,1,2,1,[64],[7],[4],128,20,64,30.41437029838562,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.0794258862733841,0.9770833253860474,0.0839561596512794,2032643,Savgol
2,2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,40.13739919662476,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0745265483856201,0.981249988079071,0.0784353464841842,1022467,Savgol
3,3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,115.23352265357973,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.06149572879076,0.981249988079071,0.0686975717544555,4088835,Savgol
4,4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,33.76187777519226,0.971666693687439,0.971666693687439,0.971666693687439,0.0924263074994087,0.9791666865348816,0.0711430013179779,1018435,Savgol
5,5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,35.43609166145325,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0600559823215007,0.9791666865348816,0.0762721747159957,1018499,Savgol
6,6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,82.18427467346191,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0552179962396621,0.9791666865348816,0.0719562098383903,2034627,Savgol
7,7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,190.0358111858368,0.9666666388511658,0.9666110277175904,0.9649999737739564,0.0921979397535324,0.9791666865348816,0.0764127224683761,8136579,Savgol
8,8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,33.05644917488098,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.052249077707529,0.9770833253860474,0.066076636314392,510915,Savgol
9,9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,31.182733297348022,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0753489658236503,0.9770833253860474,0.0817484930157661,515075,Savgol
10,10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,111.09828305244446,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.0918049439787864,0.9791666865348816,0.0744286254048347,2010179,Savgol
11,11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,302.4819338321686,0.9800000190734864,0.9800000190734864,0.9800000190734864,0.0647220313549041,0.9791666865348816,0.0838944911956787,8038531,Savgol
12,12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,186.6977183818817,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.1265060901641845,0.981249988079071,0.0720463618636131,4067011,Savgol
13,13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,79.41121745109558,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0620002038776874,0.981249988079071,0.0781172141432762,1990403,Savgol
