model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary,interpolation_method,
1,1,[32],[5],[2],64,20,32,87.4277446269989,0.9930555820465088,0.0322642251849174,1020355,0.0333252921700477,0.9894444346427916,1.0,0.9693053364753724,1.0,1.0,1.0,0.9683333039283752,linear,
2,1,[64],[7],[4],128,20,64,101.68978691101074,0.9930555820465088,0.0309967137873172,2032643,0.0348381735384464,0.992222249507904,1.0,0.9787928462028505,0.9982993006706238,0.9983333349227904,1.0,0.9783333539962769,linear,
3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,131.57334733009338,0.9951388835906982,0.0324686355888843,1022467,0.0373737476766109,0.9877777695655824,1.0,0.966183602809906,0.998275876045227,0.9983333349227904,1.0,0.9649999737739564,linear,
4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,383.7818541526794,0.9944444298744202,0.0282745342701673,4088835,0.0177043695002794,0.9944444298744202,1.0,0.9852216839790344,0.9983108043670654,0.9983333349227904,1.0,0.9850000143051147,linear,
5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,106.24636030197144,0.9944444298744202,0.0291241575032472,1018435,0.033490914851427,0.9916666746139526,1.0,0.9771987199783324,0.9982964396476746,0.9983333349227904,1.0,0.9766666889190674,linear,
6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,114.18068981170654,0.993749976158142,0.0324592925608158,1018499,0.0327791161835193,0.9905555844306946,1.0,0.9740259647369384,0.9982905983924866,0.9983333349227904,1.0,0.9733333587646484,linear,
7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,278.5213077068329,0.9930555820465088,0.0305404216051101,2034627,0.0294319577515125,0.9927777647972108,1.0,0.9787928462028505,1.0,1.0,1.0,0.9783333539962769,linear,
8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,609.13423204422,0.993749976158142,0.0271121580153703,8136579,0.02699058316648,0.993333339691162,1.0,0.9803921580314636,1.0,1.0,1.0,0.9800000190734864,linear,
9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,109.48170971870422,0.993749976158142,0.0230906698852777,510915,0.063444472849369,0.980555534362793,1.0,0.9448819160461426,1.0,1.0,1.0,0.9416666626930236,linear,
10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,96.42807745933531,0.9930555820465088,0.0301658865064382,515075,0.0317101404070854,0.9905555844306946,1.0,0.9724473357200624,1.0,1.0,1.0,0.971666693687439,linear,
11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,395.90611004829407,0.993749976158142,0.0260590240359306,2010179,0.0454482287168502,0.9883333444595336,1.0,0.9693053364753724,0.9965694546699524,0.996666669845581,1.0,0.9683333039283752,linear,
