Unnamed: 0,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,test_accuracy,test_precision,test_recall,test_loss,best_val_accuracy,best_val_loss,params,source
0,1,1,[32],[5],[2],64,20,32,221.63515400886536,0.949999988079071,0.949999988079071,0.949999988079071,0.1152356564998626,0.9791666865348816,0.0875483676791191,10236355,First Run
1,2,1,[64],[7],[4],128,20,64,285.09004521369934,0.975000023841858,0.975000023841858,0.975000023841858,0.0988411605358123,0.9770833253860474,0.0905505269765853,20464643,First Run
2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,410.8259630203247,0.9516666531562804,0.9516666531562804,0.9516666531562804,0.1193032339215278,0.9791666865348816,0.0789569094777107,10238467,First Run
3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,1297.6165351867676,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.0884191393852233,0.981249988079071,0.072086252272129,40952835,First Run
4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,360.789763212204,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.0956289768218994,0.9791666865348816,0.079888567328453,10234435,First Run
5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,379.8167366981506,0.959999978542328,0.959999978542328,0.959999978542328,0.1189396902918815,0.9791666865348816,0.0840282812714576,10234499,First Run
6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,865.6037669181824,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.0483707897365093,0.981249988079071,0.0759006291627883,20466627,First Run
7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,2557.6124885082245,0.9883333444595336,0.9883333444595336,0.9883333444595336,0.0483007840812206,0.981249988079071,0.073335513472557,81864579,First Run
8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,315.9371528625488,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0515795275568962,0.9791666865348816,0.0748460814356803,5114819,First Run
9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,297.2009291648865,0.959999978542328,0.9616026878356934,0.959999978542328,0.1067904904484748,0.981249988079071,0.080599308013916,5118979,First Run
10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,1224.7608063220978,0.959999978542328,0.959999978542328,0.959999978542328,0.135682612657547,0.9791666865348816,0.075827270746231,20442179,First Run
11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,4385.2798907756805,0.9816666841506958,0.9816666841506958,0.9816666841506958,0.0724739283323288,0.981249988079071,0.0723941624164581,81766531,First Run
12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,2023.543236732483,0.9833333492279052,0.9833333492279052,0.9833333492279052,0.0547515675425529,0.9833333492279052,0.0716552734375,40898243,First Run
13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,902.0299808979034,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0420115292072296,0.981249988079071,0.0835846662521362,20406019,First Run
14,15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,32916.78462910652,0.9700000286102296,0.9700000286102296,0.9700000286102296,0.1120358780026435,0.981249988079071,0.0614054091274738,81810627,First Run
15,16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,1651.926340341568,0.9766666889190674,0.9766666889190674,0.9766666889190674,0.0595977455377578,0.981249988079071,0.0662292465567588,40658179,First Run
16,17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,885.2161478996277,0.975000023841858,0.975000023841858,0.975000023841858,0.0745550617575645,0.9770833253860474,0.0730390474200248,10249219,First Run
17,18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,2826.6305096149445,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0404724478721618,0.9833333492279052,0.0572674460709095,20563843,First Run
18,19,3,"[32, 128, 512]","[11, 7, 3]","[4, 4, 2]",512,40,32,2693.1746802330017,0.9883333444595336,0.9883333444595336,0.9883333444595336,0.0519120655953884,0.9833333492279052,0.062189444899559,81492995,First Run
19,20,4,"[32, 64, 256, 512]","[13, 9, 5, 3]","[4, 4, 2, 2]",512,45,64,1415.612649679184,0.9850000143051147,0.9850000143051147,0.9850000143051147,0.0373361222445964,0.981249988079071,0.0622111521661281,40604931,First Run
0,1,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,348.67999172210693,0.9700000286102296,0.9699499011039734,0.9683333039283752,0.0967570096254348,0.9791666865348816,0.0701726749539375,5114819,Second Run
1,2,3,"[64, 128, 256]","[7, 5, 3]","[4, 4, 2]",128,30,32,818.1102223396301,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.0835186541080474,0.975000023841858,0.0815243348479271,10298755,Second Run
2,3,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,32,344.33770775794983,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.0455027893185615,0.9791666865348816,0.0724646896123886,5118979,Second Run
3,4,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 4]",128,30,32,277.1045951843262,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.1055367439985275,0.9770833253860474,0.0750572681427002,2575299,Second Run
4,5,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",256,30,32,406.2727191448212,0.9666666388511658,0.9666666388511658,0.9666666388511658,0.1481145769357681,0.981249988079071,0.0815160125494003,10194371,Second Run
5,6,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,64,277.95542764663696,0.9783333539962769,0.9783333539962769,0.9783333539962769,0.0690363049507141,0.981249988079071,0.0690664425492286,5114819,Second Run
6,7,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,40,32,422.8503999710083,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.0402956567704677,0.9854166507720948,0.0527747608721256,5114819,Second Run
7,8,3,"[64, 128, 256]","[9, 7, 5]","[4, 4, 2]",128,30,32,939.6004087924956,0.9866666793823242,0.9866666793823242,0.9866666793823242,0.0564586520195007,0.9791666865348816,0.0770455375313758,10348035,Second Run
