,model,n_layers,filters,kernel_sizes,pool_sizes,dense_units,epochs,batch_size,training_time,best_val_accuracy,best_val_loss,params,loss,accuracy,precision_noise,precision_single,precision_binary,recall_noise,recall_single,recall_binary
0,1,1,[32],[5],[2],64,20,32,95.34196829795837,0.9937499761581421,0.03181415796279907,1020355,0.03851117566227913,0.9877777695655823,1.0,0.966183602809906,0.998275876045227,0.9983333349227905,1.0,0.9649999737739563
1,2,1,[64],[7],[4],128,20,64,113.3042299747467,0.9951388835906982,0.0384424552321434,2032643,0.028332209214568138,0.9938889145851135,1.0,0.9819967150688171,1.0,1.0,1.0,0.9816666841506958
2,3,2,"[32, 64]","[5, 3]","[2, 2]",64,25,32,158.0958547592163,0.9923611283302307,0.03393140807747841,1022467,0.05321434140205383,0.9861111044883728,1.0,0.9615384340286255,0.998266875743866,0.9983333349227905,1.0,0.9599999785423279
3,4,2,"[64, 128]","[5, 3]","[2, 2]",128,25,32,458.2701184749603,0.9930555820465088,0.025481319054961205,4088835,0.025770053267478943,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147
4,5,2,"[32, 64]","[7, 5]","[2, 2]",64,25,64,136.12972116470337,0.9951388835906982,0.02653171308338642,1018435,0.026493674144148827,0.9916666746139526,1.0,0.9771987199783325,0.9982964396476746,0.9983333349227905,1.0,0.9766666889190674
5,6,2,"[32, 64]","[9, 7]","[2, 2]",64,25,64,145.90960264205933,0.9944444298744202,0.02854962833225727,1018499,0.03125897794961929,0.9911110997200012,1.0,0.9771987199783325,0.9965986609458923,0.996666669845581,1.0,0.9766666889190674
6,7,3,"[32, 64, 128]","[7, 5, 3]","[2, 2, 2]",128,30,32,351.51995396614075,0.9930555820465088,0.02629772573709488,2034627,0.04001345857977867,0.992222249507904,1.0,0.9803921580314636,0.996610164642334,0.996666669845581,1.0,0.9800000190734863
7,8,3,"[64, 128, 256]","[7, 5, 3]","[2, 2, 2]",256,30,64,647.4593262672424,0.9930555820465088,0.027487490326166153,8136579,0.027765413746237755,0.9927777647972107,1.0,0.9803921580314636,0.9983022212982178,0.9983333349227905,1.0,0.9800000190734863
8,9,3,"[32, 64, 128]","[7, 5, 3]","[4, 4, 2]",128,30,32,128.0441448688507,0.9944444298744202,0.03361082449555397,510915,0.03200056776404381,0.9961110949516296,1.0,0.9884678721427917,1.0,1.0,1.0,0.9883333444595337
9,10,3,"[32, 64, 128]","[9, 7, 5]","[4, 4, 2]",128,30,64,111.63765335083008,0.9930555820465088,0.032192766666412354,515075,0.04088525101542473,0.9905555844306946,1.0,0.9724473357200623,1.0,1.0,1.0,0.971666693687439
10,11,3,"[32, 64, 128]","[11, 9, 7]","[2, 2, 2]",128,35,32,435.60346698760986,0.9944444298744202,0.02795420214533806,2010179,0.018849728628993034,0.995555579662323,1.0,0.9868420958518982,1.0,1.0,1.0,0.9866666793823242
11,12,3,"[64, 128, 256]","[11, 9, 7]","[2, 2, 2]",256,35,64,1003.9272909164429,0.9951388835906982,0.025876177474856377,8038531,0.02564203180372715,0.9938889145851135,1.0,0.9819967150688171,1.0,1.0,1.0,0.9816666841506958
12,13,4,"[32, 64, 128, 256]","[7, 5, 3, 3]","[2, 2, 2, 2]",256,40,32,675.9723789691925,0.9944444298744202,0.02197161689400673,4067011,0.01929238811135292,0.9944444298744202,1.0,0.9836065769195557,1.0,1.0,1.0,0.9833333492279053
13,14,4,"[32, 64, 128, 256]","[9, 7, 5, 3]","[4, 2, 2, 2]",256,40,64,294.2662835121155,0.9951388835906982,0.029045160859823227,1990403,0.037618111819028854,0.9977777600288391,1.0,0.9933775067329407,1.0,1.0,1.0,0.9933333396911621
14,15,5,"[32, 64, 128, 256, 512]","[7, 5, 5, 3, 3]","[2, 2, 2, 2, 2]",512,45,32,1389.6790535449982,0.9951388835906982,0.0258267130702734,7886019,0.02453828603029251,0.9950000047683716,1.0,0.9852216839790344,1.0,1.0,1.0,0.9850000143051147
15,16,5,"[32, 64, 128, 256, 512]","[9, 7, 5, 3, 3]","[4, 2, 2, 2, 2]",512,45,64,596.0881524085999,0.9951388835906982,0.02327674999833107,3958019,0.029636044055223465,0.9911110997200012,1.0,0.9740259647369385,1.0,1.0,1.0,0.9733333587646484
16,17,3,"[64, 64, 64]","[5, 5, 5]","[2, 2, 2]",128,30,32,312.6051096916199,0.9944444298744202,0.03397989645600319,1033219,0.044494226574897766,0.9894444346427917,1.0,0.9882746934890747,0.9801653027534485,0.996666669845581,0.9833333492279053,0.9883333444595337
17,18,4,"[128, 128, 128, 128]","[3, 3, 3, 3]","[2, 2, 2, 2]",256,35,64,670.0397219657898,0.9951388835906982,0.024539558216929436,2115459,0.039060890674591064,0.9916666746139526,1.0,0.9771987199783325,0.9982964396476746,0.9983333349227905,1.0,0.9766666889190674
